title,vote_average,genres,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
Babe,-0.0931601468733493,"Fantasy, Drama, Comedy, Family",0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Carrington,0.20519100404210053,"History, Drama, Romance",0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
Dead Man Walking,0.8764810936018617,Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Across the Sea of Time,-1.957854840094909,"Adventure, History, Drama, Family",0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
It Takes Two,-0.018572359144487172,"Comedy, Family, Romance",0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Clueless,0.5781299426864125,"Comedy, Drama, Romance",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"Cry, the Beloved Country",0.42895436722868757,Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Richard III,0.5781299426864125,"Drama, War",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Dead Presidents,0.35436657949982475,"Action, Crime, Drama, History",1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Restoration,0.13060321631323774,"Drama, Romance",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Mortal Kombat,-0.5406868732465234,"Action, Fantasy",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
To Die For,0.42895436722868757,"Fantasy, Drama, Comedy, Thriller",0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
How To Make An American Quilt,0.27977879177096265,"Drama, Romance",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Se7en,1.4731833954327607,"Crime, Mystery, Thriller",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Pocahontas,0.42895436722868757,"Adventure, Animation, Drama, Family",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
When Night Is Falling,-0.16774793460221143,"Drama, Romance",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
The Usual Suspects,1.4731833954327607,"Drama, Crime, Thriller",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Guardian Angel,0.13060321631323774,"Action, Thriller, Drama",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Mighty Aphrodite,0.42895436722868757,"Comedy, Romance",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Lamerica,1.1748322445173114,"Drama, Foreign",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
The Big Green,-0.6898624487042483,"Action, Adventure, Comedy, Family",1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,-0.018572359144487172,Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Home for the Holidays,0.13060321631323774,"Comedy, Drama, Romance",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
The Postman,1.1002444567884486,"Comedy, Drama, Romance",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
The Confessional,0.27977879177096265,"Thriller, Drama, Mystery",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
The Indian in the Cupboard,-0.16774793460221143,"Adventure, Family, Fantasy",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Eye for an Eye,-0.2423357223310742,"Drama, Thriller",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Mr. Holland's Opus,0.5781299426864125,"Music, Drama, Family",0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,0.056015428584375616,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Two If by Sea,-1.211976962806285,"Comedy, Romance",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bio-Dome,-1.2865647505351472,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lawnmower Man 2: Beyond Cyberspace,-2.479969354196946,"Action, Science Fiction",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Two Bits,-0.5406868732465234,"Drama, Family",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
French Twist,-0.0931601468733493,"Comedy, Romance",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Friday,0.6527177304152746,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
From Dusk Till Dawn,0.5781299426864125,"Horror, Action, Thriller, Crime",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Fair Game,-1.510328113721735,"Action, Thriller, Romance",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Kicking and Screaming,0.6527177304152746,"Comedy, Drama, Romance",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Les Miserables,0.35436657949982475,"Drama, History",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Bed of Roses,-0.764450236433111,"Drama, Romance",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Big Bully,-1.6595036891794595,"Comedy, Family",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Screamers,-0.018572359144487172,"Horror, Science Fiction",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Nico Icon,0.8764810936018617,Documentary,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Crossing Guard,-0.018572359144487172,"Drama, Thriller",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
The Juror,-0.46609908551766127,"Drama, Thriller",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
The White Balloon,1.0256566690595865,"Family, Drama",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Things to Do in Denver When You're Dead,0.42895436722868757,"Drama, Crime",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonia's Line,0.8018933058729996,"Drama, Comedy",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Once Upon a Time... When We Were Colored,-1.211976962806285,"Romance, Drama",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Angels and Insects,0.13060321631323774,"Drama, Romance",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
White Squall,0.13060321631323774,"Action, Drama",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dunston Checks In,-0.764450236433111,"Adventure, Comedy, Family",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Black Sheep,-0.0931601468733493,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick of Time,-0.018572359144487172,"Crime, Drama, Thriller",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
The Journey of August King,0.42895436722868757,Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mary Reilly,-0.31692351005993635,"Drama, Horror, Thriller, Romance",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
Vampire in Brooklyn,-1.211976962806285,"Comedy, Horror, Romance",0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Beautiful Girls,0.35436657949982475,"Comedy, Drama, Romance",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Broken Arrow,-0.31692351005993635,"Action, Adventure, Drama, Thriller",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
A Midwinter's Tale,1.0256566690595865,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Haine,1.3240078199750365,Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Shopping,-0.3915112977887991,"Action, Adventure, Drama, Science Fiction, Thriller",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
Heidi Fleiss: Hollywood Madam,0.5035421549575497,Documentary,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City Hall,-0.0931601468733493,"Drama, Thriller",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Bottle Rocket,0.5035421549575497,"Comedy, Crime, Drama",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mr. Wrong,-2.107030415552634,"Comedy, Romance",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Unforgettable,-0.6152746609753862,"Drama, Mystery, Science Fiction, Thriller",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
Happy Gilmore,0.27977879177096265,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Bridges of Madison County,0.8764810936018617,"Drama, Romance",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Nobody Loves Me,-0.764450236433111,"Drama, Comedy, Family",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Muppet Treasure Island,0.27977879177096265,"Action, Comedy, Music, Family, Adventure",1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Catwalk,0.6527177304152746,Documentary,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Headless Body in Topless Bar,-4.568427410605093,Crime,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Braveheart,1.1748322445173114,"Action, Drama, History, War",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Taxi Driver,1.4731833954327607,"Crime, Drama",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rumble in the Bronx,0.27977879177096265,"Crime, Action, Comedy, Thriller",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Before and After,-0.2423357223310742,"Drama, Thriller",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Margaret's Museum,1.0256566690595865,Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Happiness Is in the Field,0.6527177304152746,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anne Frank Remembered,0.8764810936018617,"Documentary, Drama, Foreign",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
The Young Poisoner's Handbook,0.5781299426864125,"Comedy, Crime, Drama",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
If Lucy Fell,-0.5406868732465234,"Comedy, Romance",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Steal Big Steal Little,-0.764450236433111,"Comedy, Drama",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Race the Sun,-0.6898624487042483,"Action, Adventure, Comedy, Drama, Family",1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
The Boys of St. Vincent,0.6527177304152746,Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Boomerang,-0.5406868732465234,"Comedy, Romance",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Chungking Express,1.3240078199750365,"Drama, Comedy, Romance",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
The Star Maker,0.5035421549575497,"Drama, Romance",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Flirting with Disaster,0.13060321631323774,"Comedy, Romance",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Neverending Story III: Escape from Fantasia,-1.2865647505351472,Fantasy,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Silences of the Palace,-1.3611525382640102,Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pie in the Sky,0.6527177304152746,"Comedy, Romance",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Angela,-0.3915112977887991,"Comedy, Drama",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Frankie Starlight,-0.5406868732465234,"Drama, Romance, War",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
Jade,-0.764450236433111,"Action, Thriller, Mystery, Romance",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Nueba Yol,-0.46609908551766127,"Comedy, Drama, Romance",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Sonic Outlaws,-4.568427410605093,"Music, Documentary",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Down Periscope,-0.3915112977887991,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
From the Journals of Jean Seberg,0.27977879177096265,Documentary,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Man of the Year,-1.734091476908322,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Neon Bible,0.8018933058729996,Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Up Close & Personal,-0.16774793460221143,"Drama, Romance",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
The Birdcage,0.42895436722868757,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virgin Mary,0.6527177304152746,Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Brothers McMullen,0.13060321631323774,"Comedy, Drama, Romance",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Bad Boys,0.27977879177096265,"Action, Comedy, Crime, Thriller",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Amazing Panda Adventure,-0.8390380241619732,"Action, Adventure, Drama, Family",1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
The Basketball Diaries,0.8018933058729996,"Drama, Crime",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
An Awfully Big Adventure,-0.0931601468733493,"Romance, Drama, Comedy",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Amateur,0.27977879177096265,"Crime, Comedy, Drama, Thriller",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Apollo 13,0.8764810936018617,Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rob Roy,0.27977879177096265,Adventure,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Addiction,0.20519100404210053,"Drama, Horror",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Batman Forever,-0.6898624487042483,"Action, Crime, Fantasy",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Belle de Jour,0.8764810936018617,"Drama, Romance",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Beyond Rangoon,0.20519100404210053,"Drama, Thriller",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Blue in the Face,0.5035421549575497,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canadian Bacon,-0.16774793460221143,"Action, Comedy",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casper,-0.0931601468733493,"Fantasy, Comedy, Family",0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Clockers,0.5035421549575497,"Mystery, Crime, Drama",0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Congo,-0.8390380241619732,"Action, Adventure, Drama, Mystery, Science Fiction, Thriller",1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
Crimson Tide,0.6527177304152746,"Action, Thriller, Drama",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Crumb,1.1002444567884486,Documentary,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desperado,0.5035421549575497,"Thriller, Action, Crime",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Devil in a Blue Dress,0.13060321631323774,"Drama, Mystery, Thriller",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
Die Hard: With a Vengeance,0.5781299426864125,"Action, Thriller",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Doom Generation,-0.3915112977887991,"Action, Comedy, Crime, Drama",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Feast of July,-4.568427410605093,"Drama, Crime",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
First Knight,-0.16774793460221143,"Action, Adventure, Drama, Romance",1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Free Willy 2 - The Adventure Home,-0.46609908551766127,Adventure,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hackers,0.056015428584375616,"Action, Crime, Thriller, Drama",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Jeffrey,0.27977879177096265,"Comedy, Drama, Romance",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Johnny Mnemonic,-0.46609908551766127,"Adventure, Action, Drama, Science Fiction, Thriller",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
Judge Dredd,-0.5406868732465234,Science Fiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Jury Duty,-1.5849159014505971,"Comedy, Drama",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kids,0.5035421549575497,"Drama, Crime",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Living in Oblivion,0.8018933058729996,"Drama, Comedy",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lord of Illusions,-0.16774793460221143,"Mystery, Horror, Thriller",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Love & Human Remains,0.6527177304152746,"Comedy, Drama",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mad Love,-0.46609908551766127,"Drama, Family, Romance",0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Mallrats,0.5035421549575497,"Romance, Comedy",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mighty Morphin Power Rangers: The Movie,-0.6898624487042483,"Action, Adventure, Science Fiction, Family, Fantasy",1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
Moonlight and Valentino,-0.3915112977887991,"Comedy, Drama, Romance",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Mute Witness,0.20519100404210053,"Thriller, Foreign",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Nadja,-0.16774793460221143,"Horror, Thriller",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
The Net,-0.3915112977887991,"Crime, Drama, Mystery, Thriller, Action",1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
Nine Months,-0.46609908551766127,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Party Girl,-0.2423357223310742,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Prophecy,0.20519100404210053,"Fantasy, Horror, Thriller",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
Reckless,2.8903513622811463,"Fantasy, Comedy, Drama",0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Safe,0.8018933058729996,Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Scarlet Letter,-0.46609908551766127,"Drama, History, Romance",0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
The Show,-0.6152746609753862,Documentary,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Showgirls,-0.9136258118908354,Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Smoke,0.8018933058729996,"Comedy, Drama",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Something to Talk About,-0.31692351005993635,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species,-0.46609908551766127,"Science Fiction, Horror, Action",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
The Stars Fell on Henrietta,0.35436657949982475,Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Strange Days,0.5035421549575497,"Crime, Drama, Science Fiction, Thriller",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
The Umbrellas of Cherbourg,1.1002444567884486,"Drama, Romance",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
The Tie That Binds,-1.137389175077423,Thriller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Three Wishes,-0.018572359144487172,"Drama, Fantasy",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Total Eclipse,0.27977879177096265,"Drama, Romance",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"To Wong Foo, Thanks for Everything! Julie Newmar",0.13060321631323774,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Under Siege 2: Dark Territory,-0.3915112977887991,"Action, Thriller",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Unstrung Heroes,0.20519100404210053,"Comedy, Drama, Family",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Unzipped,-0.0931601468733493,Documentary,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
